Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
244,-61.9211,-11.8701,0.4664,0.7,0.0,3.975,0.3204,0.0,1.825,0.0
245,-62.4173,-11.864,0.4668,0.7,0.0,3.9917,0.3259,0.0,1.8343,0.0
246,-61.8877,-11.8859,0.4672,0.7,0.0,3.9519,0.3324,0.0,1.8435,0.0
247,-62.0029,-11.8036,0.4676,0.7,0.0,4.037,0.3389,0.0,1.8528,0.0
248,-61.917,-11.8495,0.4681,0.7,0.0,3.9972,0.3444,0.0,1.862,0.0
249,-62.2008,-11.8225,0.4686,0.7,0.0,3.9574,0.3509,0.0,1.8713,0.0
250,-62.8251,-11.7804,0.469,0.7,0.0,3.9815,0.3574,0.0,1.8806,0.0
251,-62.3682,-11.8731,0.4694,0.7,0.0,3.9926,0.3639,0.0,1.8898,0.0
252,-61.9072,-11.8543,0.4697,0.7,0.0,3.9676,0.3694,0.0,1.8991,0.0
253,-62.5029,-11.8161,0.4702,0.7,0.0,4.0065,0.3759,0.0,1.9083,0.0
254,-61.7706,-11.8484,0.4706,0.7,0.0,4.0009,0.3824,0.0,1.9176,0.0
255,-62.2685,-11.8848,0.471,0.7,0.0,3.9713,0.3889,0.0,1.9269,0.0
256,-62.0418,-11.8841,0.4714,0.7,0.0,3.9833,0.3954,0.0,1.9361,0.0
257,-62.4709,-11.86,0.4718,0.7,0.0,4.0259,0.4019,0.0,1.9454,0.0
258,-62.3328,-11.8378,0.4721,0.7,0.0,3.9806,0.4083,0.0,1.9546,0.0
259,-62.0873,-11.7933,0.4725,0.7,0.0,4.0046,0.4148,0.0,1.9639,0.0
260,-61.9708,-11.8355,0.4729,0.7,0.0,4.0444,0.4222,0.0,1.9731,0.0
261,-62.4899,-11.8085,0.4733,0.7,0.0,3.9648,0.4287,0.0,1.9824,0.0
262,-62.0054,-11.8847,0.4735,0.7,0.0,4.0093,0.4352,0.0,1.9917,0.0
263,-62.2669,-11.7999,0.474,0.7,0.0,4.0194,0.4417,0.0,2.0009,0.0
