Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
227,-64.523,-12.1737,0.6202,0.7,0.00375,3.995,14.09,14.09,14.2775,14.2775
228,-64.1912,-12.0993,0.6208,0.7,0.135,4.1475,14.09,14.09,14.2775,14.2775
229,-64.4608,-12.1254,0.6215,0.7,0.0675,3.9375,14.09,14.09,14.2775,14.2775
230,-64.419,-12.0656,0.6223,0.7,0.06375,3.945,14.09,14.09,14.2775,14.2775
231,-64.7547,-11.983,0.623,0.7,0.14625,4.0825,14.09,14.09,14.2775,14.2775
232,-65.2031,-11.9056,0.6238,0.7,0.08625,3.9975,14.09,14.09,14.2775,14.2775
233,-64.7352,-11.9199,0.6244,0.7,0.135,3.9875,14.09,14.09,14.2775,14.2775
234,-65.1949,-11.7911,0.625,0.7,0.12,3.94,14.09,14.09,14.2775,14.2775
235,-65.4719,-11.7434,0.6256,0.7,0.10875,3.9825,14.09,14.09,14.2775,14.2775
236,-65.0786,-11.6392,0.6262,0.7,0.16125,4.1,14.09,14.09,14.2775,14.2775
237,-65.206,-11.4998,0.627,0.7,0.19875,4.0375,14.09,14.09,14.2775,14.2775
238,-65.636,-11.3889,0.6276,0.7,0.2025,3.985,14.09,14.09,14.2775,14.2775
239,-65.7105,-11.229,0.6283,0.7,0.25875,4.0025,14.09,14.09,14.2775,14.2775
240,-65.0256,-11.1881,0.629,0.7,0.42,4.025,14.09,14.09,14.2775,14.2775
241,-64.1698,-11.0459,0.6297,0.7,0.5025,4.07,14.09,14.09,14.2775,14.2775
242,-64.0583,-10.8606,0.6304,0.7,0.49125,4.0325,14.09,14.09,14.2775,14.2775
243,-63.5477,-10.7147,0.6311,0.7,0.52875,4.0425,14.09,14.09,14.2775,14.2775
244,-63.347,-10.5155,0.6316,0.7,0.46125,3.985,14.09,14.09,14.2775,14.2775
245,-62.5041,-10.3652,0.6323,0.7,1.18875,4.1075,14.09,14.09,14.2775,14.2775
246,-62.0987,-10.2148,0.633,0.7,1.95,3.9875,14.09,14.09,14.2775,14.2775
247,-61.9598,-10.0802,0.6335,0.7,3.0225,4.0725,14.09,14.09,14.2775,14.2775
248,-59.4296,-10.0975,0.6341,0.7,3.52875,3.96,14.09,14.09,14.2775,14.2775
249,-57.8315,-10.0296,0.6346,0.7,3.72,4.0925,14.09,14.09,14.2775,14.2775
250,-55.6946,-10.3316,0.6348,0.7,3.195,4.125,14.09,14.09,14.2775,14.2775
251,-56.9245,-10.2789,0.6354,0.7,3.04875,3.9725,14.09,14.09,14.2775,14.2775
252,-55.9423,-10.2268,0.6357,0.7,3.16875,3.98,14.09,14.09,14.2775,14.2775
253,-56.2033,-10.2953,0.6363,0.7,2.7075,3.9475,14.09,14.09,14.2775,14.2775
254,-57.3982,-10.3039,0.6369,0.7,3.24375,3.9775,14.09,14.09,14.2775,14.2775
255,-56.21,-10.4948,0.6374,0.7,2.88,4.1025,14.09,14.09,14.2775,14.2775
256,-54.5495,-10.8936,0.6377,0.7,2.4375,4.0,14.09,14.09,14.2775,14.2775
257,-52.6383,-10.9305,0.6382,0.7,2.42625,3.9575,14.09,14.09,14.2775,14.2775
258,-54.2926,-10.9299,0.6386,0.7,2.41875,3.9525,14.09,14.09,14.2775,14.2775
259,-53.4045,-10.8927,0.639,0.7,2.32875,4.025,14.09,14.09,14.2775,14.2775
260,-53.9884,-10.8954,0.6395,0.7,2.2725,4.0375,14.09,14.09,14.2775,14.2775
261,-54.5679,-10.8888,0.64,0.7,2.21625,4.1275,14.09,14.09,14.2775,14.2775
262,-54.6733,-11.106,0.6404,0.7,1.7025,3.9725,14.09,14.09,14.2775,14.2775
263,-54.6486,-11.231,0.6409,0.7,1.60125,4.09,14.09,14.09,14.2775,14.2775
264,-56.1708,-11.5822,0.6411,0.7,1.2375,3.9775,14.09,14.09,14.2775,14.2775
265,-55.459,-11.4313,0.6416,0.7,1.5375,4.01,14.09,14.09,14.2775,14.2775
266,-56.6513,-11.437,0.6423,0.7,1.26375,4.1525,14.09,14.09,14.2775,14.2775
267,-56.9349,-11.6975,0.6426,0.7,0.75,4.0775,14.09,14.09,14.2775,14.2775
268,-57.0354,-11.8496,0.643,0.7,0.82875,4.07,14.09,14.09,14.2775,14.2775
269,-58.5029,-12.0458,0.6434,0.7,0.675,3.9175,14.09,14.09,14.2775,14.2775
270,-58.3606,-12.0946,0.6438,0.7,0.495,4.075,14.09,14.09,14.2775,14.2775
271,-58.8253,-12.1752,0.6442,0.7,0.52125,4.0125,14.09,14.09,14.2775,14.2775
272,-59.0383,-12.1411,0.6447,0.7,0.25875,3.9725,14.09,14.09,14.2775,14.2775
